datetimestamp,host,macaddress,endtime,diskusage,cpu,memory,rowid,systemtime,totalvocppb,cputempf,temperature,humidity,co2,equivalentco2ppm,pressure,temperatureicp,ts
2022-11-22 20:19:03.849050+00:00,thermal,e4:5f:01:7c:3f:34,1669148339.271487,102627.6 MB,4.8,10.0,20221122201859_ed73f6c9-c497-4e40-9828-e1a6319e3c15,11/22/2022 15:19:04,0.0,119,29.4823,22.9,643.0,400.0,101930.1,83.0,1669148344
2022-11-22 20:19:08.675974+00:00,thermal,e4:5f:01:7c:3f:34,1669148344.9127774,102627.6 MB,10.3,10.0,20221122201904_68f81865-8ba5-4249-88e4-cb98b60dc423,11/22/2022 15:19:09,0.0,118,29.0471,23.28,638.0,65535.0,101926.68,83.0,1669148349
2022-11-22 20:19:13.486163+00:00,thermal,e4:5f:01:7c:3f:34,1669148349.722541,102627.6 MB,5.3,10.0,20221122201909_82fc5a2c-8bd8-40f7-b2dd-cd86180c971a,11/22/2022 15:19:14,0.0,120,28.7801,23.61,653.0,400.0,101926.45,83.0,1669148354
2022-11-22 20:19:18.304453+00:00,thermal,e4:5f:01:7c:3f:34,1669148354.5408292,102627.6 MB,5.7,10.0,20221122201914_b0a871a4-5372-4547-bdeb-2c1290f37335,11/22/2022 15:19:19,0.0,119,28.5184,23.92,649.0,65535.0,101926.91,83.0,1669148359
2022-11-22 20:19:23.071209+00:00,thermal,e4:5f:01:7c:3f:34,1669148359.410982,102627.6 MB,7.3,10.0,20221122201919_9ea8eabf-8df9-41ed-a360-6712ee433b8e,11/22/2022 15:19:24,0.0,120,28.2994,24.25,660.0,65535.0,101927.51,83.0,1669148364
2022-11-22 20:19:27.825023+00:00,thermal,e4:5f:01:7c:3f:34,1669148364.1639132,102627.6 MB,5.5,10.4,20221122201924_8fe11c1c-13d9-4d76-8a5d-2fee9b998ef1,11/22/2022 15:19:28,2.0,120,28.1205,24.58,665.0,65535.0,101926.92,83.0,1669148368
2022-11-22 16:39:43.430598+00:00,thermal,e4:5f:01:7c:3f:34,1669135178.8552535,102637.0 MB,5.3,10.3,20221122163938_d3981346-97f9-448b-b43d-b916e6cf718e,11/22/2022 11:39:44,0.0,118,29.4129,22.45,777.0,400.0,102221.63,81.0,1669135184
2022-11-22 16:39:48.203721+00:00,thermal,e4:5f:01:7c:3f:34,1669135184.5414128,102637.0 MB,6.0,9.9,20221122163944_c4aedd91-cca1-4ecf-b56a-c782abb1e74c,11/22/2022 11:39:49,0.0,117,29.0337,22.9,760.0,65535.0,102222.33,81.0,1669135189
2022-11-22 16:39:53.019307+00:00,thermal,e4:5f:01:7c:3f:34,1669135189.3586516,102637.0 MB,5.3,9.9,20221122163949_e4019341-b8c8-4380-98aa-7995a2972528,11/22/2022 11:39:54,0.0,118,28.7801,23.27,776.0,65535.0,102222.06,81.0,1669135194
2022-11-22 16:39:57.833745+00:00,thermal,e4:5f:01:7c:3f:34,1669135194.0689452,102637.0 MB,5.3,9.9,20221122163954_caae70fb-b5ec-4a61-abbd-dab61a00afe1,11/22/2022 11:39:58,0.0,116,28.5504,23.59,776.0,65535.0,102221.48,81.0,1669135198
2022-11-22 16:40:02.677805+00:00,thermal,e4:5f:01:7c:3f:34,1669135198.9137301,102637.0 MB,9.3,9.9,20221122163958_9019b841-840f-4e75-b905-46303a02b812,11/22/2022 11:40:03,10.0,117,28.3448,23.87,774.0,65535.0,102220.73,81.0,1669135203
2022-11-22 16:40:07.405947+00:00,thermal,e4:5f:01:7c:3f:34,1669135203.844262,102637.0 MB,5.3,10.0,20221122164003_cbbb0289-e34d-47eb-8005-938406313020,11/22/2022 11:40:08,5.0,117,28.1152,24.18,770.0,65535.0,102220.43,81.0,1669135208
